URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dvmd.de/fhir/ValueSet/kdl,2025,active,"1.2.276.0.76.11.469",ValueSetKDL,ValueSet Klinische Dokumentenklassen-Liste (Version 2025),"ValueSets sind Listen von Codes, die in einem bestimmten Kontext verwendet werden. Durch sog. &quot;Terminology-Binding&quot; können Attribute von FHIR-Ressourcen an ValueSets gebunden werden, um die Menge der zulässigen Werte für dieses Attribut einzuschränken.  Dieses ValueSet enthält sämtliche Codes aus dem CodeSystem &quot;KDL&quot; und ist für Bindings an Attribute geeignet, an denen alle Werte aus dem CodeSystem &quot;KDL&quot; erlaubt werden sollen.  Beispiel: DocumentReference.type","StructureDefinition/ISiKDokumentenMetadaten","dvmd.kdl.r4"
http://hl7.org/fhir/ValueSet/c80-doc-typecodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.47",DocumentTypeValueSet,Document Type Value Set,"This is the code specifying the precise type of document (e.g. Pulmonary History and  Physical, Discharge Summary, Ultrasound Report, etc.). The Document Type value set includes all LOINC  values listed in HITSP C80 Table 2-144 Document Class Value Set Definition above used for Document Class,  and all LOINC values whose SCALE is DOC in the LOINC database.","StructureDefinition/ISiKDokumentenMetadaten","LOINC"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKBinary,StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKPatient","THO"
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","StructureDefinition/ISiKDokumentenMetadaten,OperationDefinition/UpdateMetadata","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/ISiKPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/ISiKPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/ISiKPatient","THO"
http://hl7.org/fhir/ValueSet/diagnosis-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.49",DiagnosisRole,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO"
http://hl7.org/fhir/ValueSet/document-classcodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.46",DocumentClassValueSet,Document Class Value Set,"This is the code specifying the high-level kind of document (e.g. Prescription, Discharge Summary, Report, etc.). Note: Class code for documents comes from LOINC, and is based upon one of the following:The type of service described by the document. It is described at a very high level in Section 7.3 of the LOINC Manual. The type study performed. It was determined by identifying modalities for study reports. The section of the chart where the document is placed. It was determined from the SETs created for Claims Attachment requests.","StructureDefinition/ISiKDokumentenMetadaten","LOINC"
http://hl7.org/fhir/ValueSet/document-reference-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.7",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","StructureDefinition/ISiKDokumentenMetadaten","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.244",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","StructureDefinition/ISiKDokumentenMetadaten","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-diet,4.0.1,draft,"2.16.840.1.113883.4.642.3.255",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO"
http://hl7.org/fhir/ValueSet/encounter-discharge-disposition,4.0.1,draft,"2.16.840.1.113883.4.642.3.259",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO"
http://hl7.org/fhir/ValueSet/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.262",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.250",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO (V3),THO"
http://hl7.org/fhir/ValueSet/encounter-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.261",EncounterReasonCodes,Encounter Reason Codes,"This examples value set defines the set of codes that can be used to indicate reasons for an encounter.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","SCT"
http://hl7.org/fhir/ValueSet/encounter-special-arrangements,4.0.1,draft,"2.16.840.1.113883.4.642.3.253",SpecialArrangements,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO"
http://hl7.org/fhir/ValueSet/encounter-special-courtesy,4.0.1,draft,"2.16.840.1.113883.4.642.3.252",SpecialCourtesy,Special courtesy,"This value set defines a set of codes that can be used to indicate special courtesies provided to the patient.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO (V3)"
http://hl7.org/fhir/ValueSet/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.246",EncounterStatus,EncounterStatus,"Current state of the encounter.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.248",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/iso3166-1-2,4.0.1,active,,Iso3166-1-2,Iso 3166 Part 1: 2 Letter Codes,"This value set defines the ISO 3166 Part 1 2-letter codes","StructureDefinition/ISiKPatient","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKBinary,StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKPatient","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/ISiKPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/ISiKPatient","THO (V3)"
http://hl7.org/fhir/ValueSet/mimetypes,4.0.1,active,"2.16.840.1.113883.4.642.3.1024",Mime Types,MimeType,"This value set includes all possible codes from BCP-13 (http://tools.ietf.org/html/bcp13)","StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKBinary","Other"
http://hl7.org/fhir/ValueSet/name-part-qualifier,4.0.1,draft,"2.16.840.1.113883.4.642.3.906",EntityNamePartQualifier,EntityNamePartQualifier,"A set of codes each of which specifies a certain subcategory of the name part in addition to the main name part type.","StructureDefinition/ISiKPatient","THO (V3)"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/ISiKPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/ISiKPatient","THO (V2)"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/ISiKDokumentenMetadaten,StructureDefinition/ISiKBinary,StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKPatient",
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO"
http://ihe-d.de/ValueSets/IHEXDSclassCode,2021-06-25T13:44:47,active,"1.2.276.0.76.11.32",IHEXDSclassCode,IHE XDS classCode,"**classCode (XDSDocumentEntry)**   A high-level classification of XDS Documents that indicates the kind of document, e.g., report, summary, note, consent.","StructureDefinition/ISiKDokumentenMetadaten","de.ihe-d.terminology,LOINC"
http://ihe-d.de/ValueSets/IHEXDSeventCodeList,2021-07-06T21:19:41,active,"1.2.276.0.76.11.34",IHEXDSeventCodeList,IHE XDS eventCodeList,"**eventCodeList (XDSDocumentEntry)**  This list of codes represents the main clinical acts being documented in an XDS Document.","StructureDefinition/ISiKDokumentenMetadaten","ihe.formatcode.fhir,de.ihe-d.terminology"
http://ihe-d.de/ValueSets/IHEXDSformatCodeDE,2018-12-14T17:07:12,active,"1.2.276.0.76.11.35",IHEXDSformatCodeDE,IHE XDS formatCode,"**formatCode (XDSDocumentEntry)**  Globally unique code specifying the format of an XDS Document. Along with the typeCode, it should provide sufficient information to allow a potential consumer to know if it will be able to process the document.","StructureDefinition/ISiKDokumentenMetadaten","de.ihe-d.terminology"
http://ihe-d.de/ValueSets/IHEXDShealthcareFacilityTypeCode,2021-07-06T21:23:52,active,"1.2.276.0.76.11.36",IHEXDShealthcareFacilityTypeCode,IHE XDS healthcareFacilityTypeCode,"**healthcareFacilityTypeCode (XDSDocumentEntry)**  This code for an XDS Document represents the type of organizational setting of the clinical encounter during which the documented act occurred.","StructureDefinition/ISiKDokumentenMetadaten",
http://ihe-d.de/ValueSets/IHEXDSpracticeSettingCode,2019-05-17T13:46:31,active,"1.2.276.0.76.11.37",IHEXDSpracticeSettingCode,IHE XDS practiceSettingCode,"**practiceSettingCode (XDSDocumentEntry)**  The code for an XDS Document that specifies the clinical specialty where the act that resulted in the document was performed (e.g., Family Practice, Laboratory, Radiology).","StructureDefinition/ISiKDokumentenMetadaten",
http://ihe-d.de/ValueSets/IHEXDStypeCode,2020-02-07T07:55:58,active,"1.2.276.0.76.11.38",IHEXDStypeCode,IHE XDS typeCode,"**typeCode (XDSDocumentEntry)**  A low-level classification of XDS Documents within a classCode that describes class, event, specialty, and setting.","StructureDefinition/ISiKDokumentenMetadaten","de.ihe-d.terminology,LOINC"
http://terminology.hl7.org/ValueSet/conformance-expectation,2.0.0,active,"2.16.840.1.113883.4.642.3.919",ConformanceExpectation,ConformanceExpectation,"Indicates the degree of adherence to a specified behavior or capability expected for a system to be deemed conformant with a specification.","StructureDefinition/ExtensionISiKCapabilityStatementImportsExpectation","THO"
http://terminology.hl7.org/ValueSet/v2-0092,3.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO (V3)"
https://gematik.de/fhir/isik/ValueSet/ISiKBehandlungsergebnisReha,6.0.0,active,,ISiKBehandlungsergebnisRehaVS,,"Behandlungsergebnis Reha gemäß §301(4 UND 4A) SGB V. Diagnosenbezogene Bewertung des Behandlungsergebnisses für einen Versicherten/Berechtigten bei Entlassung aus der Reha-Maßnahme bzw. Stellung eines Antrags auf Verlängerung. Vgl. Schlüsseltabelle 2.71 Diagnose - Behandlungsergebnis.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
https://gematik.de/fhir/isik/ValueSet/ISiKBesondereBehandlungsformReha,6.0.0,active,,ISiKBesondereBehandlungsformRehaVS,,"Besondere Behandlungsform der Reha gemäß §301(4 UND 4A) SGB V. Vgl. Schlüsseltabelle 2.51 Besondere Behandlungsformen.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
https://gematik.de/fhir/isik/ValueSet/ISiKConfidentialityCodes,6.0.0,active,,ISiKConfidentialityCodes,ISiKConfidentialityCodes,"Vertraulichkeitsstufen","StructureDefinition/ISiKDokumentenMetadaten","THO (V3)"
https://gematik.de/fhir/isik/ValueSet/ISiKEncounterClassDE,6.0.0,active,,ISiKEncounterClassDE,ISiKEncounterClassDE,"Erweitert das ValueSet EncounterClassDE der Deutschen Basisprofile um die Codes ACUTE, NONAC und OBSENC aus dem HL7 v3 ActCode System zur Harmonisierung mit dem HL7 Europe Hospital Discharge Report (HDR). Ein Issue zur Aufnahme dieser Codes in EncounterClassDE wurde bei den Deutschen Basisprofilen eingereicht.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO (V3)"
https://gematik.de/fhir/isik/ValueSet/ISiKEncounterTypeErweiterungVS,6.0.0,active,,ISiKEncounterTypeErweiterungVS,ISiKEncounterTypeErweiterungVS,"ISiK vereint hierbei das ValueSet [KontaktArtDe](http://fhir.de/CodeSystem/kontaktart-de) aus dem deutschen Basisprofil und die übergangsweise hinzugefügten Codes für den ambulanten Kontakt im Krankenhaus. Dieses ValueSet ist als Übergangslösung zu verstehen, da die Inhalte beim TC Terminologien von HL7 eingebracht sind und sobald sie dort publiziert sind, wird eine Migration auf die dortigen Codes erfolgen.","StructureDefinition/ISiKKontaktGesundheitseinrichtung","Internal,de.basisprofil.r4"
https://gematik.de/fhir/isik/ValueSet/ISiKEntlassformReha,6.0.0,active,,ISiKEntlassformRehaVS,,"ISiK Entlassform Reha. Beschreibt Form und ggf. Weiterbehandlung der Entlassung eines Versicherten/Berechtigten aus verwaltungs- und medizinischer Sicht. Vgl. Schlüsseltabelle 2.107 Entlassungsform.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
https://gematik.de/fhir/isik/ValueSet/ISiKUnterbrechungReha,6.0.0,active,,ISiKUnterbrechungRehaVS,,"ISiK Unterbrechung Reha. Dokumentiert die relevanten Gründe einer Unterbrechung einer Rehabilitationsmaßnahme im Einzelfall. Vgl. Schlüsseltabelle 2.111 Erläuterung zur Unterbrechung.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
